originalName,normalizedName,actions
Service Hydrographique et Océanographique de la Marine (SHOM),,
-- Contact sur la métadonnée --,,reject
-- Nom de l'organisation responsable de la m?tadonn?e --,,reject
-- Nom de l'organisation responsable des métadonnées --,,reject
-- Nom de l'organisme --,,reject
-- Nom du point de contact des métadonnées --,,reject
-- Organisme Contact --,,reject
ADACL,,
ADEME,,
ADEUPa (pour les 5 Agences d'urbanisme et de développement de Bretagne),,
ADUGA,,
AERODATA,,
APEM,,
APRONA,,
APUR (Atelier Parisien d'Urbanisme),,
ARPE PACA,,
ARPE-PACA,,
ARS,,
ARS Midi-Pyrénées (Agence Régionale de Santé Midi-Pyrénées),,
ARS Picardie,,
ARS de Picardie,,
ASPA,,
ATMO Auvergne,,
AUDIAR,,
AUDeG,,
AURAV,,
Agence Départementale d'Aménagement et d'Urbanisme du Haut-Rhin (ADAUHR),,
Agence d'Urbanisme du Pays de Lorient,,
Agence d'Urbanisme et de Développement Intercommunal de l'Agglomération Rennaise (AUDIAR),,
Agence d'urbanisme et de développement intercommunal de l'agglomération rennaise,,
Agence de Services et de Paiements,,
Agence de l'Eau Artois Picardie,,
Agence de l'eau Adour Garonne,,
Agence de l'eau en Loire-Bretagne,,
Air Breizh,,
Air PACA,,
Association Bretagne Vivante,,
Association Le Bassin du Couesnon,,
BIBUS,,
BRGM,,
BRGM - Bureau de Recherches Géologiques et Minières,BRGM,
BRGM - DPSM,,
BRGM - DR PACA,,
BRGM Aquitaine,,
Brest métropole,,
Bretagne Vivante,,
Brgm,BRGM,
Bureau de Recherche en Géologie Minière,BRGM,
Bureau des recherches géologiques et minières,BRGM,
CA - Pays d'Aubagne et de l'Etoile,,
CAUE de l'Oise,,
CAVIL,,
CC - Lubéron Durance Verdon,,
CC Tarn,,
CC du Pays Fouesnantais,,
CCTA,,
CDC Piémont Oloronais,,
CEL,,
CELRL,,
CEN Auvergne,,
CEREGE,,
CEREMA,,
"CEREMA / Direction Technique Eau, Mer et Fleuves",,
"CEREMA / Direction Technique Eau, mer et Fleuves","CEREMA / Direction Technique Eau, Mer et Fleuves",
CEREMA / Direction Territoriale Normandie-Centre,,
CEREMA/DT OUEST/DIMER,,
CETE Lyon,,
CETE Normandie Centre,,
CETE Normandie-Centre,,
CETE Ouest,,
CGDD,,
CNRS,,
CNRS-UMR ESPACE 7300,,
COEUR Emeraude,,
COMMEDI,,
COMMUNAUTE D'AGGLOMERATION DE VITRE COMMUNAUTE,,
CORELA,,
CPNS,,
CR Picardie,,
CRIGE - PACA,,
CRIGE-PACA,,
CRPF Bretagne,,
CRPF PACA,,
Centre Régional Auvergnat de l'Information Géographique (CRAIG),,
Centre national de la recherche scientifique (CNRS),,
Chambre Régionale d'Agriculture PACA,,
Chambre de commerce et d'industrie de Quimper Cornouaille,,
Clermont-Communauté,,
Coglais Marches de Bretagne,,
Comité régional de la conchyliculture de Bretagne sud,,
Communaute de Communes de Haute Cornouaille,,
Communauté Urbaine de Bordeaux - Direction des données géoréférencées,,
Communauté communes Au Pays de la Roche aux fées,,
Communauté d'Agglomération Béziers Méditerranée,,
Communauté d'Agglomération du Bassin de Brive,,
Communauté de Communes Tarn et Dadou,,
Communauté de Communes de la Presqu'ile de Rhuys,,
Communauté de Communes des Pays de Rhône et Ouvèze,,
Communauté de Communes du Grand Pic Saint Loup,,
Communauté de Communes du Pays Fouesnantais,,
Communauté de Communes du Pays Glazik,,
Communauté de Communes du Pays d'Aubigné,,
Communauté de Communes du Pays de Chateau-Gontier,,
Communauté de communes Bretagne romantique,,
Communauté de communes Côte d'Emeraude,,
Communauté de communes Paimpol-Goëlo,,
Communauté de communes du Pays de Bray,,
Communauté de communes du Pays de Quimperlé,,
Communauté de communes du Val d'Ille,,
Communauté de communes du pays de Châteaugiron,,
Communauté de l'agglomération Rouen Elbeuf Austreberthe (CREA),,
Communauté urbaine de Cherbourg,,
Communautés de communes du Pays de Brest,,
Communes forestières PACA,,
Concarneau Cornouaille Agglomération,,
Conseil Général de l'Allier (CG03),,
Conseil Général de la Seine-Saint-Denis,,
Conseil Général du Finistère,,
Conseil Général du Loiret,,
Conseil Général du Val d'Oise,,
"Conseil Général du Var - Délégation Routes, Transports, Forêts et Affaires Maritimes",,
Conseil Régional Nord-Pas de Calais,,
Conseil Régional de Basse-Normandie,,
Conseil Régional de Bretagne,,
Conseil général de l'Aisne,,
Conseil général de l'Oise,,
Conseil général de la Somme,,
Conseil général des Côtes d'Armor,,
Conseil général des Pyrénées Orientales,,
Conseil général du Finistère,,
Conseil général du Morbihan,,
Conseil régional Nord-Pas de Calais,,
Conseil régional de Bourgogne,,
Conseil régional de Picardie,,
Conservatoire des rives de la Loire et de ses affluents,,
Conservatoire du Littoral,,
Conservatoire du littoral,,
DAAF,,
DAE (Direction de l'Agriculture et de l'Environnement),,
DASIG,,
DDAF53,,
DDASS85,,
DDCS 17,,
DDT  38 (Direction Départementale des Territoires de l'Isère),DDT 38,
DDT 01,,
DDT 02,,
DDT 03,,
DDT 04,,
DDT 05,,
DDT 07,,
DDT 079 (Direction Départementale des Territoires des Deux-Sèvres),DDT 79,
DDT 08,,
DDT 09,,
DDT 10,,
DDT 12,,
DDT 16,,
DDT 18,,
DDT 19,,
DDT 21,,
DDT 23,,
DDT 24,,
DDT 25,,
DDT 26,,
DDT 26 - SDSR/PDEU,DDT 26,
DDT 28,,
DDT 31,,
DDT 37,,
DDT 38,,
DDT 38 (Direction Départementale des Territoires de l'Isère),DDT 38,
DDT 41,,
DDT 42,,
DDT 43,,
DDT 45,,
DDT 46,,
DDT 47,,
DDT 49,,
DDT 52,,
DDT 53,,
DDT 53 (Direction départementale des territoires de la Mayenne),DDT 53,
DDT 54,,
DDT 60,,
DDT 61,,
DDT 63,,
DDT 65,,
DDT 67,,
DDT 68,,
DDT 69,,
DDT 71,,
DDT 72,,
DDT 74,,
DDT 77,,
DDT 78,,
DDT 79,,
DDT 81,,
DDT 82,,
DDT 84,,
DDT 86,,
DDT 87,,
DDT 90,,
DDT 91,,
DDT 95,,
DDT Ardèche,,
DDT Puy-de-Dôme,,
DDT de Maine-et-Loire,,
